phase,channel,window_s,method,windows,valid_windows,valid_fraction,mae_valid_bpm,rmse_valid_bpm,bias_valid_bpm,penalized_mae_bpm,invalid_windows
sitting,temperature_left,20,Maksima,20,20,1.0,5.219877169029386,7.035819611019176,0.36171708250979095,5.219877169029386,0
sitting,temperature_left,20,Metoda nachylenia,20,20,1.0,5.8,6.44980619863884,-3.2,5.8,0
sitting,temperature_left,20,Minima,20,20,1.0,4.515117783995477,6.03651103212095,0.42675363537608924,4.515117783995477,0
sitting,temperature_left,20,Przejścia przez zero,20,20,1.0,5.050826815988605,6.3223924193340615,-0.053688813573995554,5.050826815988605,0
sitting,temperature_right,5,Autokorelacja,23,23,1.0,4.1676464727609766,4.798997580412247,1.406651404684156,4.1676464727609766,0
sitting,temperature_right,5,FFT,23,23,1.0,4.803989087077799,6.868454200847055,-3.008538993437668,4.803989087077799,0
sitting,temperature_right,5,Maksima,23,8,0.34782608695652173,3.347607655502392,4.520913301759558,2.8976076555023917,12.033950488870397,15
sitting,temperature_right,5,Metoda nachylenia,23,23,1.0,4.956521739130435,6.324555320336759,-3.739130434782609,4.956521739130435,0
sitting,temperature_right,5,Minima,23,6,0.2608695652173913,3.100471485226476,4.624814443776068,-2.8373135904896336,12.113166474406908,17
sitting,temperature_right,5,Przejścia przez zero,23,12,0.5217391304347826,3.290305010893246,4.060167146274759,3.0338947544829895,9.977550440466041,11
sitting,temperature_right,10,Autokorelacja,22,22,1.0,11.830413608978954,16.90067521648266,1.988434832539012,11.830413608978954,0
sitting,temperature_right,10,FFT,22,22,1.0,5.476570017355532,6.655525374580162,-2.452239960979177,5.476570017355532,0
sitting,temperature_right,10,Maksima,22,19,0.8636363636363636,4.918863315619231,6.457345798675501,0.7510674733803092,5.83901831803479,3
sitting,temperature_right,10,Metoda nachylenia,22,22,1.0,5.2727272727272725,5.830951894845301,-2.6363636363636362,5.2727272727272725,0
sitting,temperature_right,10,Minima,22,22,1.0,3.235099140888734,4.542926253982796,0.3085519833266533,3.235099140888734,0
sitting,temperature_right,10,Przejścia przez zero,22,20,0.9090909090909091,4.177559576805903,4.9711794354413295,0.33207014266900553,4.706872342550821,2
