session,phase,event_type,target_bpm,channel,device,method,p_reference,p_noise,snr_ref_db
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,median,1666.4559255017682,143.97239546334214,10.63514601252738
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,S-G,1794.8033017889938,114.60114058123153,11.948279197871411
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,raw,15226.351371681218,1611.8179008307845,9.75279872859536
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,detrend,15227.587856979188,1326.9529411446802,10.597755924982224
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,SMA,14613.520270026356,1072.858511258149,11.342123953825734
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,EMA,12405.171996876477,742.3740458269933,12.229800100268452
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,median,15111.925954158176,1301.3271531587993,10.64933325192584
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,S-G,15220.724072329993,1287.82284187705,10.725791891302558
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,raw,9595.085793476694,1122.9762154713371,9.316783042451268
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,detrend,9595.067667265836,934.5377894100868,10.11451174449832
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,SMA,8121.220872207743,601.0971067458387,11.306766845350412
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,EMA,4985.723187776408,418.79674838024005,10.757248613103572
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,median,9346.900410690228,868.6211695854967,10.318372058401149
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,S-G,9527.99853910476,823.501176716289,10.633374578080936
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,raw,5254.368950366449,373.98004164394297,11.476721390994584
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,detrend,5254.370178546809,296.4794240947178,12.485261078818423
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,SMA,3232.4226657534064,159.23792240872356,13.074816407077087
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,EMA,1457.8159395526118,108.46129907325523,11.284278926279299
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,median,4659.179584489436,308.2449223869527,11.794135189748104
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,S-G,4985.211408425148,229.88738667512033,13.361684369027738
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,tensometric,Pas tensometryczny,raw,4269075219228.4746,1078685747657.949,5.974388663776375
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,tensometric,Pas tensometryczny,detrend,4269075807085.775,1077358753439.1107,5.979735221401827
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,tensometric,Pas tensometryczny,SMA,3611280326041.6875,683670365012.692,7.228144469025098
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,tensometric,Pas tensometryczny,EMA,2217188711932.4443,539409344363.19464,6.138841932560193
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,tensometric,Pas tensometryczny,median,3861569117030.18,846487580293.7667,6.5914322204413756
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,tensometric,Pas tensometryczny,S-G,4238684918589.603,828672772669.7849,7.088480649552638
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,tensometric,Pas tensometryczny,raw,2075117419376.2961,444590909406.7113,6.690820976649531
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,tensometric,Pas tensometryczny,detrend,2075113070617.0708,454852114493.5482,6.591715479412903
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,tensometric,Pas tensometryczny,SMA,1281216521833.0486,251124795587.56543,7.077329341941291
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,tensometric,Pas tensometryczny,EMA,581061606849.9099,167765934445.45734,5.395184005634917
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,tensometric,Pas tensometryczny,median,1510630698353.0046,353603058538.7838,6.306422931388842
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,tensometric,Pas tensometryczny,S-G,1969488241851.161,333538166754.01373,7.712078549580478
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,pressure,Pas barometryczny,raw,233597.4057824592,103828.58548298755,3.521510779982981
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,pressure,Pas barometryczny,detrend,233597.05209495925,103972.67105208778,3.515481567291834
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,pressure,Pas barometryczny,SMA,197543.50559569325,49996.30255408053,5.967248689245741
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,pressure,Pas barometryczny,EMA,121425.90403252447,36266.53741628962,5.248052526767646
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,pressure,Pas barometryczny,median,209310.22124828017,61073.65386499861,5.349365333726831
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,pressure,Pas barometryczny,S-G,231922.6642571371,69283.79596289611,5.247115173664568
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,pressure,Pas barometryczny,raw,172571.81490499643,66223.66158775595,4.159566767632219
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,pressure,Pas barometryczny,detrend,172571.80349267562,66345.19046492959,4.1516039259205675
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,pressure,Pas barometryczny,SMA,106337.30420436634,30483.806381483235,5.426164516273776
