session,phase,channel,device,window_s,window_start_s,window_end_s,target_bpm,method,estimated_bpm,error_bpm,absolute_error_bpm,valid,event_count,contains_target_transition
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,50.0,55.0,15.0,Autokorelacja,17.77777777777778,2.7777777777777786,2.7777777777777786,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,50.0,55.0,15.0,FFT,13.953916929918154,-1.0460830700818455,1.0460830700818455,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,55.0,60.0,15.0,Maksima,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,55.0,60.0,15.0,Minima,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,55.0,60.0,15.0,Przejścia przez zero,17.142857142857142,2.1428571428571423,2.1428571428571423,True,2,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,55.0,60.0,15.0,Autokorelacja,18.46153846153846,3.46153846153846,3.46153846153846,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,55.0,60.0,15.0,FFT,17.45248920510784,2.4524892051078417,2.4524892051078417,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,60.0,65.0,20.0,Maksima,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,60.0,65.0,20.0,Minima,25.263157894736842,5.2631578947368425,5.2631578947368425,True,2,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,60.0,65.0,20.0,Przejścia przez zero,24.0,4.0,4.0,True,2,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,60.0,65.0,20.0,Autokorelacja,25.263157894736842,5.2631578947368425,5.2631578947368425,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,60.0,65.0,20.0,FFT,25.15529913353543,5.155299133535429,5.155299133535429,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,65.0,70.0,20.0,Maksima,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,65.0,70.0,20.0,Minima,20.0,0.0,0.0,True,2,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,65.0,70.0,20.0,Przejścia przez zero,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,65.0,70.0,20.0,Autokorelacja,20.0,0.0,0.0,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,65.0,70.0,20.0,FFT,18.141377033406844,-1.8586229665931562,1.8586229665931562,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,70.0,75.0,25.0,Maksima,26.666666666666668,1.6666666666666679,1.6666666666666679,True,2,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,70.0,75.0,25.0,Minima,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,70.0,75.0,25.0,Przejścia przez zero,20.0,-5.0,5.0,True,2,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,70.0,75.0,25.0,Autokorelacja,20.869565217391305,-4.130434782608695,4.130434782608695,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,70.0,75.0,25.0,FFT,19.689630677385864,-5.310369322614136,5.310369322614136,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,75.0,80.0,25.0,Maksima,24.0,-1.0,1.0,True,2,False
